index,text
1,"RT RETHAMonicaa Jgn percaya dgn hoax 

Vaksin covid Sinovac tidak mengandung sel Vero berbahaya

Vaksin Solusi Atasi Pandemi
"
2,RT jokowi Saya telah menerima suntikan vaksin Sinovac Evaluasi BPOM efikasinya   di atas standar WHO yang   MUI juga menyatak
3,RT Mentimoen Setelah Amerika amp Eropa Barat memulai vaksinasi dgn vaksin Pfizer kemudian agak terhambat krn produksi macet negara lain
4,Kabar bahwa efektifitas Vaksin Sinovac ini di Brazil dan Turki tak terlalu bagus digoreng untuk mendiskreditkan pro httpstcoMCCGTKoS
5,"RT RETHAMonicaa Jgn percaya dgn hoax 

Vaksin covid Sinovac tidak mengandung sel Vero berbahaya

Vaksin Solusi Atasi Pandemi
"
6,RT detikcom Beredar kabar Kasdim Gresik meninggal akibat vaksin COVID disebut jadi korban vaksin Sinovac di RI Kabar itu dipastikan
7,RT vrishaba Kini para tenaga kesehatan pelayan publik dan masyarakat bisa divaksinasi tanpa keraguan Vaksin Sinovac aman berkhasia
8,RT detikcom Beredar kabar Kasdim Gresik meninggal akibat vaksin COVID disebut jadi korban vaksin Sinovac di RI Kabar itu dipastikan
9,RT detikcom Beredar kabar Kasdim Gresik meninggal akibat vaksin COVID disebut jadi korban vaksin Sinovac di RI Kabar itu dipastikan
10,Beredar kabar Kasdim Gresik meninggal akibat vaksin COVID disebut jadi korban vaksin Sinovac di RI Kabar itu d httpstcoPHYzLSBpuh
11,Komisi IX DPR RI ikut angkat suara perihal  orang relawan uji klinis vaksin Sinovac dinyatakan positif Covid httpstcoQKvxdgOI
12,"RT RETHAMonicaa Jgn percaya dgn hoax 

Vaksin covid Sinovac tidak mengandung sel Vero berbahaya

Vaksin Solusi Atasi Pandemi
"
13,RT Mentimoen Setelah Amerika amp Eropa Barat memulai vaksinasi dgn vaksin Pfizer kemudian agak terhambat krn produksi macet negara lain
14,Kini para tenaga kesehatan pelayan publik dan masyarakat bisa divaksinasi tanpa keraguan Vaksin Sinovac aman b httpstconyptUsTS
15,RT Mentimoen Dari data Brazil vaksin Sinovac lebih efektif jika dosis ke dua diberikan  hari sesudah dosis pertama ketimbang dgn inte
16,RT Mentimoen Setelah Amerika amp Eropa Barat memulai vaksinasi dgn vaksin Pfizer kemudian agak terhambat krn produksi macet negara lain
17,"RT RETHAMonicaa Jgn percaya dgn hoax 

Vaksin covid Sinovac tidak mengandung sel Vero berbahaya

Vaksin Solusi Atasi Pandemi
"
18,RT Mentimoen Dari data Brazil vaksin Sinovac lebih efektif jika dosis ke dua diberikan  hari sesudah dosis pertama ketimbang dgn inte
19,"RT FaGtng Request Antrimu terlalu lama

Waktu akan membuktikan mana yg lebih cepat masuk  Covid atau Vaksin Sinovac 

Semoga kau ma"
20,"RT msaiddidu Apakah analisis saya ini benar 
Jika tingkat efikasi vaksin Sinovac adlh   artinya jika menyuntik  orang ada "
21,Proses vaksinasi kepada  tenaga kesehatan nakes mulai dilakukan dengan pemberian vaksin Covid buatan Sino httpstcoLLpEkBVw
22,RT korantempo Kementerian Kesehatan melaporkan ada  orang yang tersebar di  kabupatenkota telah menerima vaksin Sinovac ingatp
23, Kelompok masyarakat yang tidak bisa di vaksin covid dari Sinovac httpstcoNRlZYKrc
24,Kementerian Kesehatan melaporkan ada  orang yang tersebar di  kabupatenkota telah menerima vaksin Sinovac httpstcoswSRr
25,"RT AryatamaAditya Vaksin covid Sinovac bukan hanya untuk uji klinis dan tidak mengandung sel Vero berbahaya

Hatihati dengan HOAX"
26,RT republikaonline Sebanyak  dari  relawan uji klinis vaksin Sinovac dinyatakan positif Covid httpstcosqSxyeEr
27,"RT FaGtng Request Antrimu terlalu lama

Waktu akan membuktikan mana yg lebih cepat masuk  Covid atau Vaksin Sinovac 

Semoga kau ma"
28,"ShamsiAli httpstcoNAHdCqm

Beda dengan Jokowi Suntik Vaksin Covid Perdana di Turki Bukan Erdogan
httpstcofLDDPrxX"
29,"RT adf Putra dari Ribka Tjiptaning  dr Andrew MD saat terima vaksin Covid Sinovac

Emaknya nge BACOT tolak vaksinsampai di lep"
30,"Putra dari Ribka Tjiptaning  dr Andrew MD saat terima vaksin Covid Sinovac

Emaknya nge BACOT tolak vaksinsam httpstcoRVTdMWgV"
31, Kelompok masyarakat yang tidak bisa di vaksin covid dari Sinovac httpstcotZggNsiLqZ
32,JAKARTA  Anggota DPR RI Ribka Tjiptaning pindah dari Komisi IX ke Komisi VII usai pernyataannya tolak vaksin covid httpstcoewwxXGhlS
33,Sebanyak  dari  relawan uji klinis vaksin Sinovac dinyatakan positif Covid httpstcosqSxyeEr
34,"RT RETHAMonicaa Jgn percaya dgn hoax 

Vaksin covid Sinovac tidak mengandung sel Vero berbahaya

Vaksin Solusi Atasi Pandemi
"
35,"RT RETHAMonicaa Jgn percaya dgn hoax 

Vaksin covid Sinovac tidak mengandung sel Vero berbahaya

Vaksin Solusi Atasi Pandemi
"
36,"Request Antrimu terlalu lama

Waktu akan membuktikan mana yg lebih cepat masuk  Covid atau Vaksin Sinovac 

S httpstcogpOShrZD"
37,"Waspada hoax

Vaksin covid sinovac bukan hanya untuk uji klinis dan tidak mengandung  sel vero berbahaya

Vaksi httpstcoUIakwuLQf"
38,"RT RETHAMonicaa Jgn percaya dgn hoax 

Vaksin covid Sinovac tidak mengandung sel Vero berbahaya

Vaksin Solusi Atasi Pandemi
"
39,"RT AryatamaAditya Vaksin covid Sinovac bukan hanya untuk uji klinis dan tidak mengandung sel Vero berbahaya

Hatihati dengan HOAX"
40,"RT RETHAMonicaa Jgn percaya dgn hoax 

Vaksin covid Sinovac tidak mengandung sel Vero berbahaya

Vaksin Solusi Atasi Pandemi
"
41,"RT Kanseulir Rupiah Menguat Usai Jokowi Disuntik Vaksin COVID Sinovac

BARU DISUNTIK SEKALI SUDAH MENGUAT BAGAIMANA KALAU DISUNTIK B"
42,RT detikcom Komisi Fatwa MUI telah mengeluarkan fatwa halal vaksin COVID Sinovac Namun mereka tak akan mengeluarkan fatwa wajib vaksi
43,"RT Kanseulir Rupiah Menguat Usai Jokowi Disuntik Vaksin COVID Sinovac

BARU DISUNTIK SEKALI SUDAH MENGUAT BAGAIMANA KALAU DISUNTIK B"
44,"RT RETHAMonicaa Jgn percaya dgn hoax 

Vaksin covid Sinovac tidak mengandung sel Vero berbahaya

Vaksin Solusi Atasi Pandemi
"
45,"RT PKSejahtera PKS Minta Pemerintah Pastikan Keamanan Vaksin Covid Selain Sinovac
httpstcoyZaezmXQ httpstcoHkuPhZYX"
46,Beredar kabar Kasdim Gresik meninggal akibat vaksin COVID disebut jadi korban vaksin Sinovac di Indonesia Dipa httpstcopmOYuBJge
47,"RT RETHAMonicaa Jgn percaya dgn hoax 

Vaksin covid Sinovac tidak mengandung sel Vero berbahaya

Vaksin Solusi Atasi Pandemi
"
48,RT CNNIndonesia Alasan  Relawan Vaksin Sinovac Tetap Terkena Covid httpstcovVAOkPMUr
49,"RT RETHAMonicaa Jgn percaya dgn hoax 

Vaksin covid Sinovac tidak mengandung sel Vero berbahaya

Vaksin Solusi Atasi Pandemi
"
50,"RT RETHAMonicaa Jgn percaya dgn hoax 

Vaksin covid Sinovac tidak mengandung sel Vero berbahaya

Vaksin Solusi Atasi Pandemi
"
51,Termasuk juga yg sudah dilakukan jokowi terkait vaksinasi Covid beliau menjadi Presiden Dunia pertama yg disuntik httpstcoHJRLlsrW
52,"RT RETHAMonicaa Jgn percaya dgn hoax 

Vaksin covid Sinovac tidak mengandung sel Vero berbahaya

Vaksin Solusi Atasi Pandemi
"
53,"RT RETHAMonicaa Jgn percaya dgn hoax 

Vaksin covid Sinovac tidak mengandung sel Vero berbahaya

Vaksin Solusi Atasi Pandemi
"
54,"RT OposisiCerdas Sebut Vaksin Covid  Sinovac Barang Rongsokan Politisi PDIP Ini Dirotasi
httpstcoCmayhDmZ"
55,"RT AryatamaAditya Vaksin covid Sinovac bukan hanya untuk uji klinis dan tidak mengandung sel Vero berbahaya

Hatihati dengan HOAX"
56,RT stepenhoki narkosun Jd misalnya pada uji klinik Sinovac di Bandung  org  menerima vaksin amp  placebo Jk grup yg divaksin
